Column1;Column2;Column3;Column4;Column5;Column6;Column7;Column8;Column9
2-комн. кв., 41,1 м?, 3/5 этаж;2-комн. квартира, 41,1 м?;Москва, САО, р-н Аэропорт, ул. Константина Симонова, 5К3;3 200 ?/сутки;3 из 5;41,1 м?;сегодня, 06:46;https://www.cian.ru/rent/flat/247143037/;['https://cdn-p.cian.site/images/65/231/001/posutochnaja-kvartira-moskva-ulica-konstantina-simonova-1001325696-4.jpg', 'https://cdn-p.cian.site/images/65/231/001/posutochnaja-kvartira-moskva-ulica-konstantina-simonova-1001325696-4.jpg', 'https://cdn-p.cian.site/images/65/231/001/posutochnaja-kvartira-moskva-ulica-konstantina-simonova-1001325657-2.jpg', 'https://cdn-p.cian.site/images/75/231/001/posutochnaja-kvartira-moskva-ulica-konstantina-simonova-1001325761-2.jpg', 'https://cdn-p.cian.site/images/55/231/001/posutochnaja-kvartira-moskva-ulica-konstantina-simonova-1001325579-2.jpg', 'https://www.cian.ru/avatar.axd?i=26851101&t=2&p=2']
;;;;;;;;
Sky Embassy. Башня Федерация;5-комн. апартаменты, 220 м?;Москва, ЦАО, р-н Пресненский, наб. Пресненская, 12;35 000 ?/сутки;49 из 62;220 м?;сегодня, 15:26;https://www.cian.ru/rent/flat/151498307/;['https://cdn-p.cian.site/images/44/604/001/posutochnaja-kvartira-moskva-presnenskaya-naberezhnaya-1004064434-4.jpg', 'https://cdn-p.cian.site/images/44/604/001/posutochnaja-kvartira-moskva-presnenskaya-naberezhnaya-1004064434-4.jpg', 'https://cdn-p.cian.site/images/44/604/001/posutochnaja-kvartira-moskva-presnenskaya-naberezhnaya-1004064422-2.jpg', 'https://cdn-p.cian.site/images/44/604/001/posutochnaja-kvartira-moskva-presnenskaya-naberezhnaya-1004064435-2.jpg', 'https://cdn-p.cian.site/images/44/604/001/posutochnaja-kvartira-moskva-presnenskaya-naberezhnaya-1004064414-2.jpg', 'https://www.cian.ru/avatar.axd?i=150933&t=2&p=2']
;;;;;;;;
Большая квартира на Тверской;1-комн. квартира, 55 м?;Москва, ЦАО, р-н Тверской, 1-я Тверская-Ямская ул., 28;2 700 ?/сутки;3 из 9;55 м?;сегодня, 08:04;https://www.cian.ru/rent/flat/154622263/;['https://cdn-p.cian.site/images/8/190/612/kvartira-moskva-tverskayayamskaya-1ya-ulica-216091809-4.jpg', 'https://cdn-p.cian.site/images/8/190/612/kvartira-moskva-tverskayayamskaya-1ya-ulica-216091809-4.jpg', 'https://cdn-p.cian.site/images/8/190/612/kvartira-moskva-tverskayayamskaya-1ya-ulica-216091812-2.jpg', 'https://cdn-p.cian.site/images/8/190/612/kvartira-moskva-tverskayayamskaya-1ya-ulica-216091810-2.jpg', 'https://cdn-p.cian.site/images/8/190/612/kvartira-moskva-tverskayayamskaya-1ya-ulica-216091808-2.jpg', 'https://www.cian.ru/avatar.axd?i=120221&t=2&p=2']
;;;;;;;;
1-комн. апарт., 38 м?, 8/9 этаж;1-комн. апартаменты, 38 м?;Москва, ЮАО, р-н Орехово-Борисово Северное, Домодедовская ул., 20К3;2 300 ?/сутки;8 из 9;38 м?;сегодня, 08:04;https://www.cian.ru/rent/flat/197806925/;['https://cdn-p.cian.site/images/39/658/301/posutochnaja-kvartira-moskva-domodedovskaya-ulica-1038569387-4.jpg', 'https://cdn-p.cian.site/images/39/658/301/posutochnaja-kvartira-moskva-domodedovskaya-ulica-1038569387-4.jpg', 'https://cdn-p.cian.site/images/39/658/301/posutochnaja-kvartira-moskva-domodedovskaya-ulica-1038569390-2.jpg', 'https://cdn-p.cian.site/images/39/658/301/posutochnaja-kvartira-moskva-domodedovskaya-ulica-1038569391-2.jpg', 'https://cdn-p.cian.site/images/39/658/301/posutochnaja-kvartira-moskva-domodedovskaya-ulica-1038569388-2.jpg', 'https://www.cian.ru/avatar.axd?i=204011&t=2&p=2']
;;;;;;;;
1-комн. кв., 39 м?, 9/12 этаж;1-комн. квартира, 39 м?;Москва, ЮВАО, р-н Марьино, Мячковский бул., 5к1;2 000 ?/сутки;9 из 12;39 м?;сегодня, 07:35;https://www.cian.ru/rent/flat/10488484/;['https://cdn-p.cian.site/images/2/738/589/posutochnaja-kvartira-moskva-myachkovskiy-bulvar-985837294-4.jpg', 'https://cdn-p.cian.site/images/2/738/589/posutochnaja-kvartira-moskva-myachkovskiy-bulvar-985837294-4.jpg', 'https://cdn-p.cian.site/images/2/738/589/posutochnaja-kvartira-moskva-myachkovskiy-bulvar-985837286-2.jpg', 'https://cdn-p.cian.site/images/3/738/589/posutochnaja-kvartira-moskva-myachkovskiy-bulvar-985837300-2.jpg', 'https://cdn-p.cian.site/images/2/738/589/posutochnaja-kvartira-moskva-myachkovskiy-bulvar-985837297-2.jpg']
;;;;;;;;
1-комн. кв., 46 м?, 2/4 этаж;1-комн. квартира, 46 м?;Москва, ЮАО, р-н Даниловский, Автозаводская ул., 23К7;2 000 ?/сутки;2 из 4;46 м?;сегодня, 07:36;https://www.cian.ru/rent/flat/247270944/;['https://cdn-p.cian.site/images/51/832/001/posutochnaja-kvartira-moskva-avtozavodskaya-ulica-1002381511-4.jpg', 'https://cdn-p.cian.site/images/51/832/001/posutochnaja-kvartira-moskva-avtozavodskaya-ulica-1002381511-4.jpg', 'https://cdn-p.cian.site/images/51/832/001/posutochnaja-kvartira-moskva-avtozavodskaya-ulica-1002381514-2.jpg', 'https://cdn-p.cian.site/images/51/832/001/posutochnaja-kvartira-moskva-avtozavodskaya-ulica-1002381510-2.jpg', 'https://cdn-p.cian.site/images/51/832/001/posutochnaja-kvartira-moskva-avtozavodskaya-ulica-1002381509-2.jpg']
;;;;;;;;
АКЦИЯ -200 рублей от стоимости*;1-комн. квартира, 40 м?;Москва, ЮАО, р-н Чертаново Северное, Северное Чертаново микрорайон, 7кА;2 500 ?/сутки;5 из 25;40 м?;сегодня, 20:16;https://www.cian.ru/rent/flat/189282818/;['https://cdn-p.cian.site/images/9/615/197/kvartira-severnoe-chertanovo-791516905-4.jpg', 'https://cdn-p.cian.site/images/9/615/197/kvartira-severnoe-chertanovo-791516905-4.jpg', 'https://cdn-p.cian.site/images/8/615/197/kvartira-severnoe-chertanovo-791516892-2.jpg', 'https://cdn-p.cian.site/images/8/615/197/kvartira-severnoe-chertanovo-791516891-2.jpg', 'https://cdn-p.cian.site/images/9/615/197/kvartira-severnoe-chertanovo-791516902-2.jpg', 'https://www.cian.ru/avatar.axd?i=204822&t=2&p=2']
;;;;;;;;
Панорманое джакузи на 63м этаже!;Апартаменты-студия, 60 м?;Москва, ЦАО, р-н Пресненский, 1-й Красногвардейский проезд, 21с1;17 000 ?/сутки;63 из 84;60 м?;сегодня, 15:26;https://www.cian.ru/rent/flat/156763639/;['https://cdn-p.cian.site/images/8/365/962/kvartira-moskva-1y-krasnogvardeyskiy-proezd-269563814-4.jpg', 'https://cdn-p.cian.site/images/8/365/962/kvartira-moskva-1y-krasnogvardeyskiy-proezd-269563814-4.jpg', 'https://cdn-p.cian.site/images/8/365/962/kvartira-moskva-1y-krasnogvardeyskiy-proezd-269563819-2.jpg', 'https://cdn-p.cian.site/images/8/365/962/kvartira-moskva-1y-krasnogvardeyskiy-proezd-269563809-2.jpg', 'https://cdn-p.cian.site/images/8/365/962/kvartira-moskva-1y-krasnogvardeyskiy-proezd-269563822-2.jpg', 'https://www.cian.ru/avatar.axd?i=150933&t=2&p=2']
;;;;;;;;
1-комн. кв., 40 м?, 5/9 этаж;1-комн. квартира, 40 м?;Москва, ЗАО, р-н Филевский парк, Кастанаевская ул., 5;2 700 ?/сутки;5 из 9;40 м?;сегодня, 06:32;https://www.cian.ru/rent/flat/246001000/;['https://cdn-p.cian.site/images/8/659/099/posutochnaja-kvartira-moskva-kastanaevskaya-ulica-990956892-4.jpg', 'https://cdn-p.cian.site/images/8/659/099/posutochnaja-kvartira-moskva-kastanaevskaya-ulica-990956892-4.jpg', 'https://cdn-p.cian.site/images/9/659/099/posutochnaja-kvartira-moskva-kastanaevskaya-ulica-990956907-2.jpg', 'https://cdn-p.cian.site/images/8/659/099/posutochnaja-kvartira-moskva-kastanaevskaya-ulica-990956893-2.jpg', 'https://cdn-p.cian.site/images/9/659/099/posutochnaja-kvartira-moskva-kastanaevskaya-ulica-990956904-2.jpg', 'https://www.cian.ru/avatar.axd?i=120221&t=2&p=2']
;;;;;;;;
1-комн. кв., 40 м?, 3/5 этаж;1-комн. квартира, 40 м?;Москва, ЦАО, р-н Таганский, ул. Малые Каменщики, 18К2;2 700 ?/сутки;3 из 5;40 м?;сегодня, 05:35;https://www.cian.ru/rent/flat/246000073/;['https://cdn-p.cian.site/images/6/459/099/posutochnaja-kvartira-moskva-ulica-malye-kamenshciki-990954612-4.jpg', 'https://cdn-p.cian.site/images/6/459/099/posutochnaja-kvartira-moskva-ulica-malye-kamenshciki-990954612-4.jpg', 'https://cdn-p.cian.site/images/5/459/099/posutochnaja-kvartira-moskva-ulica-malye-kamenshciki-990954599-2.jpg', 'https://cdn-p.cian.site/images/5/459/099/posutochnaja-kvartira-moskva-ulica-malye-kamenshciki-990954598-2.jpg', 'https://cdn-p.cian.site/images/6/459/099/posutochnaja-kvartira-moskva-ulica-malye-kamenshciki-990954605-2.jpg', 'https://www.cian.ru/avatar.axd?i=120221&t=2&p=2']
;;;;;;;;
1-комн. кв., 38 м?, 1/9 этаж;1-комн. квартира, 38 м?;Москва, ЗАО, р-н Филевский парк, ул. Василисы Кожиной, 26;2 600 ?/сутки;1 из 9;38 м?;сегодня, 05:47;https://www.cian.ru/rent/flat/246004922/;['https://cdn-p.cian.site/images/7/299/099/posutochnaja-kvartira-moskva-ulica-vasilisy-kozhinoy-990992790-4.jpg', 'https://cdn-p.cian.site/images/7/299/099/posutochnaja-kvartira-moskva-ulica-vasilisy-kozhinoy-990992790-4.jpg', 'https://cdn-p.cian.site/images/7/299/099/posutochnaja-kvartira-moskva-ulica-vasilisy-kozhinoy-990992791-2.jpg', 'https://cdn-p.cian.site/images/7/299/099/posutochnaja-kvartira-moskva-ulica-vasilisy-kozhinoy-990992786-2.jpg', 'https://cdn-p.cian.site/images/7/299/099/posutochnaja-kvartira-moskva-ulica-vasilisy-kozhinoy-990992789-2.jpg', 'https://www.cian.ru/avatar.axd?i=120221&t=2&p=2']
;;;;;;;;
1-комн. кв., 38 м?, 1/5 этаж;1-комн. квартира, 38 м?;Москва, ЮЗАО, р-н Гагаринский, ул. Вавилова, 16;2 700 ?/сутки;1 из 5;38 м?;сегодня, 07:56;https://www.cian.ru/rent/flat/246001224/;['https://cdn-p.cian.site/images/7/859/099/posutochnaja-kvartira-moskva-ulica-vavilova-990958736-4.jpg', 'https://cdn-p.cian.site/images/7/859/099/posutochnaja-kvartira-moskva-ulica-vavilova-990958736-4.jpg', 'https://cdn-p.cian.site/images/7/859/099/posutochnaja-kvartira-moskva-ulica-vavilova-990958737-2.jpg', 'https://cdn-p.cian.site/images/7/859/099/posutochnaja-kvartira-moskva-ulica-vavilova-990958725-2.jpg', 'https://cdn-p.cian.site/images/7/859/099/posutochnaja-kvartira-moskva-ulica-vavilova-990958729-2.jpg', 'https://www.cian.ru/avatar.axd?i=120221&t=2&p=2']
;;;;;;;;
Видовая на Москва-Сити;1-комн. квартира, 38,3 м?;Москва, САО, р-н Хорошевский, Хорошевское ш., 80;2 800 ?/сутки;13 из 22;38,3 м?;сегодня, 06:07;https://www.cian.ru/rent/flat/240115676/;['https://cdn-p.cian.site/images/6/011/449/kvartira-moskva-horoshevskoe-shosse-944110651-4.jpg', 'https://cdn-p.cian.site/images/6/011/449/kvartira-moskva-horoshevskoe-shosse-944110651-4.jpg', 'https://cdn-p.cian.site/images/6/011/449/kvartira-moskva-horoshevskoe-shosse-944110660-2.jpg', 'https://cdn-p.cian.site/images/6/011/449/kvartira-moskva-horoshevskoe-shosse-944110654-2.jpg', 'https://cdn-p.cian.site/images/6/011/449/kvartira-moskva-horoshevskoe-shosse-944110652-2.jpg', 'https://www.cian.ru/avatar.axd?i=26851101&t=2&p=2']
;;;;;;;;
В двух шагах от Красной площади!;2-комн. квартира, 45 м?;Москва, ЦАО, р-н Тверской, Камергерский пер., 2;4 900 ?/сутки;4 из 8;45 м?;сегодня, 08:04;https://www.cian.ru/rent/flat/187219513/;['https://cdn-p.cian.site/images/3/752/438/kvartira-moskva-kamergerskiy-pereulok-834257315-4.jpg', 'https://cdn-p.cian.site/images/3/752/438/kvartira-moskva-kamergerskiy-pereulok-834257315-4.jpg', 'https://cdn-p.cian.site/images/3/752/438/kvartira-moskva-kamergerskiy-pereulok-834257388-2.jpg', 'https://cdn-p.cian.site/images/3/752/438/kvartira-moskva-kamergerskiy-pereulok-834257353-2.jpg', 'https://cdn-p.cian.site/images/3/752/438/kvartira-moskva-kamergerskiy-pereulok-834257390-2.jpg', 'https://www.cian.ru/avatar.axd?i=366151&t=2&p=2']
;;;;;;;;
1-комн. кв., 35 м?, 6/12 этаж;1-комн. квартира, 35 м?;Москва, СВАО, р-н Алексеевский, просп. Мира, 114Б;2 500 ?/сутки;6 из 12;35 м?;сегодня, 05:03;https://www.cian.ru/rent/flat/241318285/;['https://cdn-p.cian.site/images/8/836/459/kvartira-moskva-prospekt-mira-954638814-4.jpg', 'https://cdn-p.cian.site/images/8/836/459/kvartira-moskva-prospekt-mira-954638814-4.jpg', 'https://cdn-p.cian.site/images/8/836/459/kvartira-moskva-prospekt-mira-954638815-2.jpg', 'https://cdn-p.cian.site/images/8/836/459/kvartira-moskva-prospekt-mira-954638822-2.jpg', 'https://cdn-p.cian.site/images/8/836/459/kvartira-moskva-prospekt-mira-954638816-2.jpg', 'https://www.cian.ru/avatar.axd?i=120221&t=2&p=2']
;;;;;;;;
первый дом от метро;2-комн. квартира, 50 м?;Москва, ЮАО, р-н Даниловский, Большая Тульская ул., 2;3 200 ?/сутки;8 из 16;50 м?;сегодня, 04:46;https://www.cian.ru/rent/flat/226744371/;['https://cdn-p.cian.site/images/3/991/538/kvartira-moskva-bolshaya-tulskaya-ulica-835199375-4.jpg', 'https://cdn-p.cian.site/images/3/991/538/kvartira-moskva-bolshaya-tulskaya-ulica-835199375-4.jpg', 'https://cdn-p.cian.site/images/4/991/538/kvartira-moskva-bolshaya-tulskaya-ulica-835199499-2.jpg', 'https://cdn-p.cian.site/images/6/991/538/kvartira-moskva-bolshaya-tulskaya-ulica-835199656-2.jpg', 'https://cdn-p.cian.site/images/5/402/538/kvartira-moskva-bolshaya-tulskaya-ulica-835204510-2.jpg', 'https://www.cian.ru/avatar.axd?i=120221&t=2&p=2']
;;;;;;;;
1-комн. кв., 38 м?, 8/12 этаж;1-комн. квартира, 38 м?;Москва, САО, р-н Беговой, Ленинградский просп., 33А;2 500 ?/сутки;8 из 12;38 м?;сегодня, 05:58;https://www.cian.ru/rent/flat/243585131/;['https://cdn-p.cian.site/images/9/351/279/kvartira-moskva-leningradskiy-prospekt-972153987-4.jpg', 'https://cdn-p.cian.site/images/9/351/279/kvartira-moskva-leningradskiy-prospekt-972153987-4.jpg', 'https://cdn-p.cian.site/images/9/351/279/kvartira-moskva-leningradskiy-prospekt-972153985-2.jpg', 'https://cdn-p.cian.site/images/9/351/279/kvartira-moskva-leningradskiy-prospekt-972153990-2.jpg', 'https://cdn-p.cian.site/images/9/351/279/kvartira-moskva-leningradskiy-prospekt-972153986-2.jpg', 'https://www.cian.ru/avatar.axd?i=120221&t=2&p=2']
;;;;;;;;
Apart4You ЖК M-House;1-комн. квартира, 42 м?;Москва, ЮАО, р-н Чертаново Южное, ул. Академика Янгеля, 2;2 500 ?/сутки;2 из 23;42 м?;сегодня, 06:07;https://www.cian.ru/rent/flat/201206845/;['https://cdn-p.cian.site/images/1/475/636/kvartira-moskva-ulica-akademika-yangelya-636574180-4.jpg', 'https://cdn-p.cian.site/images/1/475/636/kvartira-moskva-ulica-akademika-yangelya-636574180-4.jpg', 'https://cdn-p.cian.site/images/7/475/636/kvartira-moskva-ulica-akademika-yangelya-636574768-2.jpg', 'https://cdn-p.cian.site/images/2/475/636/kvartira-moskva-ulica-akademika-yangelya-636574281-2.jpg', 'https://cdn-p.cian.site/images/2/475/636/kvartira-moskva-ulica-akademika-yangelya-636574244-2.jpg', 'https://www.cian.ru/avatar.axd?i=140940&t=2&p=2']
;;;;;;;;
Sky View, 49этаж. Башня Федерация;2-комн. апартаменты, 105 м?;Москва, ЦАО, р-н Пресненский, наб. Пресненская, 12;24 000 ?/сутки;49 из 95;105 м?;сегодня, 15:26;https://www.cian.ru/rent/flat/151498494/;['https://cdn-p.cian.site/images/4/352/669/kvartira-moskva-presnenskaya-naberezhnaya-966253462-4.jpg', 'https://cdn-p.cian.site/images/4/352/669/kvartira-moskva-presnenskaya-naberezhnaya-966253462-4.jpg', 'https://cdn-p.cian.site/images/4/352/669/kvartira-moskva-presnenskaya-naberezhnaya-966253461-2.jpg', 'https://cdn-p.cian.site/images/8/431/655/kvartira-moskva-presnenskaya-naberezhnaya-556134815-2.jpg', 'https://cdn-p.cian.site/images/4/352/669/kvartira-moskva-presnenskaya-naberezhnaya-966253458-2.jpg', 'https://www.cian.ru/avatar.axd?i=150933&t=2&p=2']
;;;;;;;;
От метро всего 2 минуты пешком;1-комн. квартира, 40 м?;Москва, ЗАО, р-н Фили-Давыдково, Пинский проезд, 5;2 700 ?/сутки;1 из 9;40 м?;сегодня, 07:35;https://www.cian.ru/rent/flat/150976070/;['https://cdn-p.cian.site/images/3/738/897/kvartira-moskva-oruzheynyy-pereulok-798837310-4.jpg', 'https://cdn-p.cian.site/images/3/738/897/kvartira-moskva-oruzheynyy-pereulok-798837310-4.jpg', 'https://cdn-p.cian.site/images/3/738/897/kvartira-moskva-oruzheynyy-pereulok-798837305-2.jpg', 'https://cdn-p.cian.site/images/3/738/897/kvartira-moskva-oruzheynyy-pereulok-798837322-2.jpg', 'https://cdn-p.cian.site/images/3/738/897/kvartira-moskva-oruzheynyy-pereulok-798837317-2.jpg', 'https://www.cian.ru/avatar.axd?i=120221&t=2&p=2']
;;;;;;;;
3 мин пешком от метро Белорусская;2-комн. квартира, 50 м?;Москва, ЦАО, р-н Пресненский, Грузинский пер., 6;3 200 ?/сутки;7 из 9;50 м?;сегодня, 05:51;https://www.cian.ru/rent/flat/174274786/;['https://cdn-p.cian.site/images/1/928/344/kvartira-moskva-gruzinskiy-pereulok-443829124-4.jpg', 'https://cdn-p.cian.site/images/1/928/344/kvartira-moskva-gruzinskiy-pereulok-443829124-4.jpg', 'https://cdn-p.cian.site/images/1/928/344/kvartira-moskva-gruzinskiy-pereulok-443829126-2.jpg', 'https://cdn-p.cian.site/images/1/928/344/kvartira-moskva-gruzinskiy-pereulok-443829125-2.jpg', 'https://cdn-p.cian.site/images/1/928/344/kvartira-moskva-gruzinskiy-pereulok-443829120-2.jpg', 'https://www.cian.ru/avatar.axd?i=120221&t=2&p=2']
;;;;;;;;
7 мин пешком от метро Лен про-кт;2-комн. квартира, 55 м?;Москва, ЮЗАО, р-н Гагаринский, ул. Косыгина, 7;3 200 ?/сутки;14 из 16;55 м?;сегодня, 08:04;https://www.cian.ru/rent/flat/200279855/;['https://cdn-p.cian.site/images/5/127/826/kvartira-moskva-ulica-kosygina-628721534-4.jpg', 'https://cdn-p.cian.site/images/5/127/826/kvartira-moskva-ulica-kosygina-628721534-4.jpg', 'https://cdn-p.cian.site/images/5/127/826/kvartira-moskva-ulica-kosygina-628721535-2.jpg', 'https://cdn-p.cian.site/images/5/127/826/kvartira-moskva-ulica-kosygina-628721533-2.jpg', 'https://cdn-p.cian.site/images/0/227/826/kvartira-moskva-ulica-kosygina-628722063-2.jpg', 'https://www.cian.ru/avatar.axd?i=120221&t=2&p=2']
;;;;;;;;
1-комн. кв., 36 м?, 6/6 этаж;1-комн. квартира, 36 м?;Москва, ЦАО, р-н Пресненский, ул. Заморенова, 9С1;2 700 ?/сутки;6 из 6;36 м?;сегодня, 07:08;https://www.cian.ru/rent/flat/249163445/;['https://cdn-p.cian.site/images/19/068/101/posutochnaja-kvartira-moskva-ulica-zamorenova-1018609169-4.jpg', 'https://cdn-p.cian.site/images/19/068/101/posutochnaja-kvartira-moskva-ulica-zamorenova-1018609169-4.jpg', 'https://cdn-p.cian.site/images/19/068/101/posutochnaja-kvartira-moskva-ulica-zamorenova-1018609171-2.jpg', 'https://cdn-p.cian.site/images/19/068/101/posutochnaja-kvartira-moskva-ulica-zamorenova-1018609164-2.jpg', 'https://cdn-p.cian.site/images/19/068/101/posutochnaja-kvartira-moskva-ulica-zamorenova-1018609162-2.jpg', 'https://www.cian.ru/avatar.axd?i=26198469&t=2&p=2']
